Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
75	sand	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	wəra	nan	nan	('sand', 'adon1237', 'ˈwɜra')	nan	121. Pasir 
76	grass; brush	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	kərəmət	nan	nan	('grass; brush', 'cent2245-hewa', 'riʔi')	nan	118. Rumput 
84	tree	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	kayo	nan	nan	('tree', 'adon1237', 'ˈkajo')	nan	110. Pohon 
87	leaf	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	lolõ	nan	nan	('leaf', 'adon1237', 'ˈlolõ')	nan	112. Daun 
91	root	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	amut	nan	nan	('root', 'cent2245-hewa', 'ramut')	nan	114. Akar 
92	fruit	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	wuã	nan	nan	('below', 'adon1237', 'leˈrerˈʔẽ,_lali_laŋũ')	nan	117. Buah 
93	seed	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	kulʔũ	nan	nan	('seed', 'adon1237', 'ˈkulʔũ')	nan	115. Biji 
95	flower	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	puhũ	nan	nan	('flower', 'lama1277-belan', 'puŋa')	nan	116. Bunga 
129	salt	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	siʔa	nan	nan	('salt', 'lama1277-baipi', 'siʔa')	nan	128. Garam 
130	fat	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	worã	nan	nan	('fat', 'cent2245-hewa', 'wura')	nan	104. Lemak 
131	flesh; meat	lama1277-merde	Lamaholot-Merdeka	Austronesian	8Lembata, 1North	elã	nan	nan	('flesh; meat', 'cent2245-hewa', 'ətan')	nan	103. Daging 
