Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
136	blood	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	mei	nan	nan	('blood', 'adon1237', 'mei')	nan	26. Darah
138	heart	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	puho	nan	nan	('heart', 'adon1237', 'ˈpuho')	nan	22. Jantung
139	liver	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	hati	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	21. Hati
144	stomach; belly	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	taĩ	nan	nan	('stomach; belly', 'abui1241-fuime', 'tatok_foko')	nan	18. Perut
145	head	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	kotʔã	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	27. Kepala
146	hair	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	rata	nan	nan	('hair', 'adon1237', 'ˈrataʔ')	nan	29. Rambut
148	eye	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	mata	nan	nan	('eye', 'adon1237', 'ˈmatak,_matak3t')	nan	47. Mata
149	ear	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	tilũ	nan	nan	('ear', 'adon1237', 'ˈtiluˈk3t')	nan	45. Telinga
150	nose	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	irũ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	30. Hidung
151	mouth	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	wəwã	nan	nan	('mouth', 'adon1237', 'ˈw3waˈk3t')	nan	33. Mulut
155	tongue	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	wewer	nan	nan	('tongue', 'adon1237', 'ˈɜwɜˈrɜt')	nan	35. Lidah
156	neck	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	wulĩ	nan	nan	"('neck', 'alor1247-baran', ""'fuliŋ"")"	nan	28. Leher
164	hand	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	limã	nan	nan	"('hand', 'alor1247-baran', ""'limaŋ_ka'lumak"")"	nan	1. Tangan
175	foot	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	lei	nan	nan	('foot', 'adon1237', 'ˈleikɜt_tɜˈnɑpʔã')	nan	4. Kaki
179	back	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	wohõ	nan	nan	('back', 'adon1237', 'ˈwohʔoˈkɜt')	nan	17. Punggung
182	skin	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	kulit	nan	nan	('skin', 'abui1241-takal', 'te̞̞:.qul')	nan	16. Kulit
190	person	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	atadikã	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	53. Orang
191	name	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	narã	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan	63. Nama
192	child	lama1277-watan	Lamaholot-Watan	Austronesian	7Adonara, 1West	ana	nan	nan	('child', 'adon1237', 'ˈʔanaʔ')	nan	56. Anak
