Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
148	eye	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	mata	nan	nan	nan	nan	47. Mata
149	ear	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	tilu	nan	nan	nan	nan	45. Telinga
150	nose	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	i̤ru	nan	nan	('nose', 'cent2245-hewa', 'i̤ru')	nan	30. Hidung
151	mouth	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	wa	nan	nan	('mouth', 'adon1237', 'ˈw3waˈk3t')	nan	33. Mulut
155	tongue	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ma	nan	nan	nan	nan	35. Lidah
156	neck	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	eru	nan	nan	('neck', 'cent2245-hewa', 'eru')	nan	28. Leher
164	hand	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	lima	nan	nan	nan	nan	1. Tangan
175	foot	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	waʔi	nan	nan	('foot', 'cent2245-hewa', 'waʔi')	nan	4. Kaki
179	back	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	tuʔe	nan	nan	('back', 'cent2245-hewa', 'toʔe')	nan	17. Punggung
182	skin	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ulit	nan	nan	('skin', 'abui1241-takal', 'te̞̞:.qul')	nan	16. Kulit
190	person	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	atabia	nan	nan	('person', 'cent2245-hewa', 'atabia')	nan	53. Orang
191	name	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	naraŋ	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan	63. Nama
192	child	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	dedi anak	nan	nan	('child', 'cent2245-hewa', 'dedi_anak')	nan	56. Anak
193	man	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	lai	nan	nan	('man', 'adon1237', 'ˈʔama_lake')	nan	54. Laki-laki
194	woman	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	duʔat	nan	nan	('woman', 'cent2245-hewa', 'duʔa')	nan	55. Wanita
195	husband	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	lait	nan	nan	('husband', 'adon1237', 'ˈlakhẽ')	nan	57. Suami
196	wife	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	duʔat (au)	nan	nan	('wife', 'cent2245-hewa', 'duʔa')	nan	58. Isteri
197	mother	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	əma	nan	nan	('mother', 'buna1278-bobon', 'ɛmɛ')	nan	59. Ibu
198	father	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ama	nan	nan	nan	nan	60. Bapak
199	older sibling	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ṳwe	nan	nan	('older sibling', 'cent2245-hewa', 'ueʔ')	nan	61. Kakak
200	younger sibling	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	anak	nan	nan	('younger sibling', 'cent2245-hewa', 'anak')	nan	62. Adik
203	1sg	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	a̤u	nan	nan	('1sg', 'amar1273-kotos', 'au')	nan	184. Saya 
204	2sg (informal)	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ʔau	nan	nan	('2sg;2pl', 'cent2245-hewa', 'miu')	nan	185. Engkau/ kamu 
204	2sg (informal)	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	miu	nan	nan	('2sg;2pl', 'cent2245-hewa', 'miu')	nan	185. Engkau/ kamu 
206	3sg	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	nimu	nan	nan	nan	nan	186. Dia 
207	1pl excl	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ami	nan	nan	('1pl.exc', 'cent2245-hewa', 'ami')	nan	188. Kami 
208	1pl incl	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ita	nan	nan	('1pl.inc', 'cent2245-hewa', 'ita')	nan	187. Kita 
210	3pl	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	rimu	nan	nan	nan	nan	189. Mereka 
212	and	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	nora	nan	nan	nan	nan	197. Dan 
213	because	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	əle	nan	nan	('because', 'cent2245-hewa', 'əle')	nan	199. Sebab 
214	if	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ganupa	nan	nan	('if', 'cent2245-hewa', 'ganupa')	nan	200. Jikalau 
215	with	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	nora	nan	nan	('with', 'adon1237', 'nɔʔ,_ˈtaliʔ')	nan	198. Dengan
