Language ID	Family	Language name (-dialect)	Culture	ISO_code	Internal	Glottolog	Lat	Lon	Region	Description	Comments	languagename	db_Object
alor1247-kabir	Austronesian	Alorese-Kabir		aol 			-8.2563	124.2158	Pantar			aloresekabir	Alorese-Kabir
mamb1306	Austronesian	Mambai		mgm		mamb1306	-8.9918	125.5072	Timor		Mambae: mamb1306	mambai	Mambai
tuku1254	Austronesian	Tokodede		tkd		tuku1254	-8.6128	125.2017	Timor		Tukudede: tuku1254	tokodede	Tokodede
kema1243	Austronesian	Kemak		kem		kema1243	-8.9729	125.2074	Timor			kemak	Kemak
laka1255	Austronesian	Lakalei 		lka		laka1255	-8.7719	125.9262	Timor			lakalei	Lakalei 
idat1237	Austronesian	Idate		idt		idat1237	-8.7719	125.9262	Timor			idate	Idate
tetu1246	Austronesian	Tetun Dili 		tdt 		tetu1246	-8.5478	125.5442	Timor			tetundili	Tetun Dili 
tetu1245-suai	Austronesian	Tetun Terik-Suai 		tdt			-9.318825	125.2625	Timor			tetunteriksuai	Tetun Terik-Suai 
tetu1245-vique	Austronesian	Tetun Terik-Viqueque	tetu	tdt			-8.8608	126.3631	Timor			tetunterikviqueque	Tetun Terik-Viqueque
p-timo1261	Timor-Alor-Pantar	proto-TAP				timo1261						prototap	proto-TAP
p-alor1249	Timor-Alor-Pantar	proto-AP				alor1249						protoap	proto-AP
p-east2519	Timor-Alor-Pantar	proto-TIM				east2519						prototim	proto-TIM
p-aust1307	Austronesian	proto-AN				aust1307						protoan	proto-AN
p-mala1545	Austronesian	proto-MP				mala1545						protomp	proto-MP
