# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT_ID	DOCULECT	FAMILY	REGION	VALUE	ALIGNMENT	COGNATE_SET	SOURCE	SEGMENTS
5506	82.0	(thatch) roof	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	wai		1		w a i
5507	82.0	(thatch) roof	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	Alor	uwaʔ		1		u w a ʔ
5508	82.0	(thatch) roof	kira1248	Kiraman	Timor-Alor-Pantar	Alor	gabuk		1		g a b u k
5509	82.0	(thatch) roof	kira1248	Kiraman	Timor-Alor-Pantar	Alor	wai		1		w a i
5510	82.0	(thatch) roof	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	wai		1		w a i
5511	82.0	(thatch) roof	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	Alor	le		nan		l e
5512	82.0	(thatch) roof	rett1240	Reta	Timor-Alor-Pantar	Alor	evai		nan		e v a i
5513	82.0	(thatch) roof	alor1249-sar-a	Sar-Adiabang	Timor-Alor-Pantar	Pantar	waay		nan		w aa y
5514	82.0	(thatch) roof	alor1249-sar-n	Sar-Nule	Timor-Alor-Pantar	Pantar	yef way		nan		y e f _ w a y
5515	82.0	(thatch) roof	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	Pantar	vemvei		nan		v e m v e i
5516	82.0	(thatch) roof	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	Pantar	wáraŋ		nan		w á r a ŋ
5517	82.0	(thatch) roof	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	Pantar	wengwei		nan		w e n gw e i
5518	82.0	(thatch) roof	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	Pantar	vemvey		nan		v e m v e y
5519	82.0	(thatch) roof	blag1240-tuntu	Blagar-Tuntuli	Timor-Alor-Pantar	Pantar	veŋ-varaŋ		nan		v e ŋ v a r a ŋ
5520	82.0	(thatch) roof	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	Pantar	(veng) arang		nan		a r a n g
5521	82.0	(thatch) roof	dein1238	Deing	Timor-Alor-Pantar	Pantar	wai		nan		w a i
5522	82.0	(thatch) roof	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	'ma goŋ		nan		ˈm a _ g o ŋ
5523	82.0	(thatch) roof	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	wai		1		w a i
5524	82.0	(thatch) roof	nede1245	Nedebang	Timor-Alor-Pantar	Pantar	sewaya		nan		s e w a y a
5525	82.0	(thatch) roof	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	(jaf) wa:i		1		w aː i
5526	82.0	(thatch) roof	kola1287	Wersing-Kolana	Timor-Alor-Pantar	Timor	sob led		nan		s o b _ l e d
5527	82.0	(thatch) roof	p-alor1249	proto-AP	Timor-Alor-Pantar		*wai		nan		w a i
16027	82.0	(thatch) roof	kula1280	Kula	Timor-Alor-Pantar	Alor	səlaka wele		nan		s ə l a k a _ w e l e
16622	82.0	(thatch) roof	wers1238	Wersing	Timor-Alor-Pantar	Timor	lede		nan		l e d e
17218	82.0	(thatch) roof	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈnakar	nan	nan	nan	ˈn a k a r
