language	lang_id	gloss	transcription	translation	comment
Kedang	keda1252	122. Air 	wei	water	
Kedang	keda1252	123. Membeku 	—	freeze	
Kedang	keda1252	124. Es 	—	ice	
Kedang	keda1252	125. Mengalir 	kawaŋ	flow	
Kedang	keda1252	126. Terapung 	bao	float	
Kedang	keda1252	127. Laut 	tahi	sea	
Kedang	keda1252	128. Garam 	teʔu	salt	
Kedang	keda1252	129. Danau 	o̤pa	lake	
Kedang	keda1252	130. Sungai 	wei kawaŋ	river	
Kedang	keda1252	131. Gunung 	ili	mountain	
Kedang	keda1252	132. Hutan	tuen	forest	
Kedang	keda1252	133. Langit 	eleŋ	sky	
Kedang	keda1252	134. Matahari 	loyo	sun	
Kedang	keda1252	135. Bintang 	male	star	
Kedang	keda1252	136. Awan 	owa	cloud	
Kedang	keda1252	137. Embun 	aʔaŋ	dew	
Kedang	keda1252	138. Hujan 	uya	rain	
Kedang	keda1252	139. Salju 	—	snow	
Kedang	keda1252	140. Angin 	aŋin	wind	
Kedang	keda1252	141. Bertiup 	puiʔ	blow	
Kedang	keda1252	142. Panas 	panaʔ	hot	
Kedang	keda1252	143. Dingin 	emi	cold	
Kedang	keda1252	144. Kering 	mayaʔ	dry	
Kedang	keda1252	145. Basah 	doroʔ	wet	
Kedang	keda1252	146. Rata 	napoʔ	flat, smooth	
Kedang	keda1252	147. Berat 	baraʔ	heavy	
Kedang	keda1252	148. Api 	api	fire	
Kedang	keda1252	149. Membakar 	tun	burn	
Kedang	keda1252	150. Asap 	rubun	smoke	
Kedang	keda1252	151. Abu 	ewol	dust	
Kedang	keda1252	152. Hitam 	miteŋ	black 	
Kedang	keda1252	153. Putih 	buyaʔ	white	
Kedang	keda1252	154. Merah 	putu	red	
Kedang	keda1252	155. Kuning 	uman	yellow	
Kedang	keda1252	156. Hijau 	taŋen	green	
Kedang	keda1252	157. Kecil 	ṳtun	small	
Kedang	keda1252	158. Besar 	rian	big	
Kedang	keda1252	159. Pendek 	mekuʔ	short	
Kedang	keda1252	160. Panjang 	lawan	long	
Kedang	keda1252	161. Tipis 	mipi	thin	
Kedang	keda1252	162. Tebal 	kapal	thick	
Kedang	keda1252	163. Sempit 	i̤pe	narrow	
Kedang	keda1252	164. Luas 	riya	wide	
Kedang	keda1252	165. Lurus 	potoŋ	straight	
Kedang	keda1252	166. Tua 	taran	old	
Kedang	keda1252	167. Baru 	werun	new	
Kedang	keda1252	168. Baik 	diʔen	good	
Kedang	keda1252	169. Jelek	daten	bad	
Kedang	keda1252	170. Betul 	muar	right, correct	
Kedang	keda1252	171. Malam 	uben	night	
Kedang	keda1252	172. Tahun 	tun	year	
Kedang	keda1252	173. Hari 	loyo	day	
Kedang	keda1252	174. Bilamana 	weaŋ piye	when	
Kedang	keda1252	175. Di 	di	in 	
Kedang	keda1252	176. Dalam 	lomo	inside	
Kedang	keda1252	177. Di sini 	dinoʔo	here	
Kedang	keda1252	178. Di situ 	dinobeʔ	there	
Kedang	keda1252	179. Ini 	noʔo	this	
Kedang	keda1252	180. Itu 	nobeʔ	that	
Kedang	keda1252	181. Dekat 	dehi	near	
Kedang	keda1252	182. Jauh 	doa	far	
Kedang	keda1252	183. Di mana 	didita	where	
Kedang	keda1252	184. Saya 	eʔi	1SG	
Kedang	keda1252	185. Engkau/ kamu 	o	2SG;2PL	
			me	2SG;2PL	
Kedang	keda1252	186. Dia 	nuo	3SG	
Kedang	keda1252	187. Kita 	te	1PL.INC	
Kedang	keda1252	188. Kami 	e	1PL.EXC	
Kedang	keda1252	189. Mereka 	suo	3PL	
Kedang	keda1252	190. Apa 	ape	what	
Kedang	keda1252	191. Siapa 	sio	who	
Kedang	keda1252	192. Lain	palan	other	
Kedang	keda1252	193. Beberapa 	pie-pie	some	
Kedang	keda1252	194. Banyak 	rai	many	
Kedang	keda1252	195. Sedikit 	uraŋ	few	
Kedang	keda1252	196. Semua 	reiʔ	all	
Kedang	keda1252	197. Dan 	nore	and	
Kedang	keda1252	198. Dengan	nore	with	
Kedang	keda1252	199. Sebab 	eleʔ	because	
Kedang	keda1252	200. Jikalau 	ere	if	
