language	lang_id	gloss	transcription	translation	comment
Imulolo		146. Rata 	lerekən	flat, smooth	
Imulolo		147. Berat 	bəra	heavy	
Imulolo		148. Api 	aper	fire	
Imulolo		149. Membakar 	papi	burn	
Imulolo		150. Asap 	sənəgurən	smoke	
Imulolo		151. Abu 	kafok	dust	
Imulolo		152. Hitam 	mitəm	black 	
Imulolo		153. Putih 	bijakən	white	
Imulolo		154. Merah 	meraŋən	red	
Imulolo		155. Kuning 	kumasən	yellow	
Imulolo		156. Hijau 	keorən	green	
Imulolo		157. Kecil 	anakən	small	
Imulolo		158. Besar 	rajan	big	
Imulolo		159. Pendek 	pəjokən	short	
Imulolo		160. Panjang 	lafakən	long	
Imulolo		161. Tipis 	mipi	thin	
Imulolo		162. Tebal 	pənəŋenən	thick	
Imulolo		163. Sempit 	kənipotən	narrow	
Imulolo		164. Luas 	pəlafat	wide	
Imulolo		165. Lurus 	mulurən	straight	
Imulolo		166. Tua 	magun	old	
Imulolo		167. Baru 	wərun	new	
Imulolo		168. Baik 	sənarekən	good	
Imulolo		169. Jelek	kədatekən	bad	
Imulolo		170. Betul 	na moi	right, correct	
Imulolo		171. Malam 	buk	night	
Imulolo		172. Tahun 	tunən	year	
Imulolo		173. Hari 	ləjo	day	
Imulolo		174. Bilamana 	jəm pira	when	
Imulolo		175. Di 	di	in 	
Imulolo		176. Dalam 	goməkən	inside	
Imulolo		177. Di sini 	kətəri	here	
Imulolo		178. Di situ 	kətəre	there	
Imulolo		179. Ini 	nakri	this	
Imulolo		180. Itu 	nakre	that	
Imulolo		181. Dekat 	daekən	near	
Imulolo		182. Jauh 	doa	far	
Imulolo		183. Di mana 	kətəga	where	
Imulolo		184. Saya 	go	1SG	
Imulolo		185. Engkau/ kamu 	mo	2SG;2PL	
			mio	2SG;2PL	
Imulolo		186. Dia 	na	3SG	
Imulolo		187. Kita 	tite	1PL.INC	
Imulolo		188. Kami 	kame	1PL.EXC	
Imulolo		189. Mereka 	daro	3PL	
Imulolo		190. Apa 	kapa	what	
Imulolo		191. Siapa 	kena	who	
Imulolo		192. Lain	geakən	other	
Imulolo		193. Beberapa 	bopira	some	
Imulolo		194. Banyak 	raiŋa	many	
Imulolo		195. Sedikit 	kənakofai	few	
Imulolo		196. Semua 	pua	all	
Imulolo		197. Dan 	na	and	
Imulolo		198. Dengan	na	with	
Imulolo		199. Sebab 	puka	because	
Imulolo		200. Jikalau 	kalu	if	
