language	lang_id	gloss	transcription	translation	comment
Lewuka		149. Membakar 	papi	burn	
Lewuka		150. Asap 	sənəgur	smoke	
Lewuka		151. Abu 	kawok	dust	
Lewuka		152. Hitam 	mitəm	black 	
Lewuka		153. Putih 	bujak	white	
Lewuka		154. Merah 	meran	red	
Lewuka		155. Kuning 	kumas	yellow	
Lewuka		156. Hijau 	kəbəris	green	
Lewuka		157. Kecil 	bənut	small	
Lewuka		158. Besar 	keda	big	
Lewuka		159. Pendek 	məgok	short	
Lewuka		160. Panjang 	doak	long	
Lewuka		161. Tipis 	mipi	thin	
Lewuka		162. Tebal 	pəfərak	thick	
Lewuka		163. Sempit 	kənipot	narrow	
Lewuka		164. Luas 	kedak	wide	
Lewuka		165. Lurus 	lurus	straight	
Lewuka		166. Tua 	magun	old	
Lewuka		167. Baru 	wərun	new	
Lewuka		168. Baik 	alus	good	
Lewuka		169. Jelek	kədatək	bad	
Lewuka		170. Betul 	nər moi	right, correct	
Lewuka		171. Malam 	buk	night	
Lewuka		172. Tahun 	tunən	year	
Lewuka		173. Hari 	ləjon	day	
Lewuka		174. Bilamana 	jəm pira	when	
Lewuka		175. Di 	wəli	in 	
Lewuka		176. Dalam 	gom	inside	
Lewuka		177. Di sini 	bene	here	
Lewuka		178. Di situ 	bete	there	
Lewuka		179. Ini 	me	this	
Lewuka		180. Itu 	məre	that	
Lewuka		181. Dekat 	daek	near	
Lewuka		182. Jauh 	doak	far	
Lewuka		183. Di mana 	nanaga	where	
Lewuka		184. Saya 	go	1SG	
Lewuka		185. Engkau/ kamu 	mo/mio	2SG;2PL	
Lewuka		186. Dia 		3SG	
Lewuka		187. Kita 	tite	1PL.INC	
Lewuka		188. Kami 	kam	1PL.EXC	
Lewuka		189. Mereka 	dan	3PL	
Lewuka		190. Apa 	aleka	what	
Lewuka		191. Siapa 	enak	who	
Lewuka		192. Lain	gesak	other	
Lewuka		193. Beberapa 	uapira	some	
Lewuka		194. Banyak 	rai	many	
Lewuka		195. Sedikit 	kənako	few	
Lewuka		196. Semua 	səwaol	all	
Lewuka		197. Dan 	tal	and	
Lewuka		198. Dengan	no	with	
Lewuka		199. Sebab 	pukən	because	
Lewuka		200. Jikalau 	kalu ma	if	
