language	lang_id	gloss	transcription	translation	comment
Lewotobi	lewo1244	111. Busuk 	wuhu	rotten	
Lewotobi	lewo1244	112. Daun 	ləpã	leaf	
Lewotobi	lewo1244	113. Kulit kayu	kajokəloka	bark	
Lewotobi	lewo1244	114. Akar 	ramu	root	
Lewotobi	lewo1244	115. Biji 	kulu	seed	
Lewotobi	lewo1244	116. Bunga 	buŋa	flower	
Lewotobi	lewo1244	117. Buah 	wuã	fruit	
Lewotobi	lewo1244	118. Rumput 	luʔo	grass	
Lewotobi	lewo1244	119. Tanah 	tana	earth	
Lewotobi	lewo1244	120. Batu 	wato	stone	
Lewotobi	lewo1244	121. Pasir 	wəra	sand	
Lewotobi	lewo1244	122. Air 	waiʔ	water	
Lewotobi	lewo1244	123. Membeku 	—	freeze	
Lewotobi	lewo1244	124. Es 	—	ice	
Lewotobi	lewo1244	125. Mengalir 	ba	flow	
Lewotobi	lewo1244	126. Terapung 	bao	float	
Lewotobi	lewo1244	127. Laut 	tahi	sea	
Lewotobi	lewo1244	128. Garam 	siʔa	salt	
Lewotobi	lewo1244	129. Danau 	walã	lake	
Lewotobi	lewo1244	130. Sungai 	luŋu	river	
Lewotobi	lewo1244	131. Gunung 	ile	mountain	
Lewotobi	lewo1244	132. Hutan	kərawo	forest	
Lewotobi	lewo1244	133. Langit 	kəlã	sky	
Lewotobi	lewo1244	134. Matahari 	ləra	sun	
Lewotobi	lewo1244	135. Bintang 	bəlia	star	
Lewotobi	lewo1244	136. Awan 	kowa	cloud	
Lewotobi	lewo1244	137. Embun 	apũ	dew	
Lewotobi	lewo1244	138. Hujan 	urã	rain	
Lewotobi	lewo1244	139. Salju 	—	snow	
Lewotobi	lewo1244	140. Angin 	aŋi	wind	
Lewotobi	lewo1244	141. Bertiup 	bu	blow	
Lewotobi	lewo1244	142. Panas 	pəlate	hot	
Lewotobi	lewo1244	143. Dingin 	loʔi	cold	
Lewotobi	lewo1244	144. Kering 	marã	dry	
Lewotobi	lewo1244	145. Basah 	kəwaʔi	wet	
Lewotobi	lewo1244	146. Rata 	rata	flat, smooth	
Lewotobi	lewo1244	147. Berat 	baʔa	heavy	
Lewotobi	lewo1244	148. Api 	ape	fire	
Lewotobi	lewo1244	149. Membakar 	tuno	burn	
Lewotobi	lewo1244	150. Asap 	rihũ	smoke	
Lewotobi	lewo1244	151. Abu 	kəwu	dust	
Lewotobi	lewo1244	152. Hitam 	mitã	black 	
Lewotobi	lewo1244	153. Putih 	burã	white	
Lewotobi	lewo1244	154. Merah 	meʔã	red	
Lewotobi	lewo1244	155. Kuning 	kumã	yellow	
Lewotobi	lewo1244	156. Hijau 	ijo	green	
Lewotobi	lewo1244	157. Kecil 	kərẽ	small	
Lewotobi	lewo1244	158. Besar 	belã	big	
Lewotobi	lewo1244	159. Pendek 	pəsu	short	
Lewotobi	lewo1244	160. Panjang 	bəlahã	long	
Lewotobi	lewo1244	161. Tipis 	mənipi	thin	
Lewotobi	lewo1244	162. Tebal 	kəwara	thick	
Lewotobi	lewo1244	163. Sempit 	kətəkə	narrow	
Lewotobi	lewo1244	164. Luas 	luas	wide	
Lewotobi	lewo1244	165. Lurus 	kəlodo	straight	
Lewotobi	lewo1244	166. Tua 	tua	old	
