Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
'pe:t	120.0	kelo1247-hopte				
mɔ'gɔl	121.0	kelo1247-hopte				
mɔ'gɔi	122.0	kelo1247-hopte				
ʔə'temɔl	123.0	kelo1247-hopte				
ʔə'tɔ':n	124.0	kelo1247-hopte				
ʔə'tɔn 'kul	125.0	kelo1247-hopte				
'taʔa:	126.0	kelo1247-hopte				
'ʔut	126.0	kelo1247-hopte				
mə'gar ʔə'ra:	127.0	kelo1247-hopte				
'du:t	128.0	kelo1247-hopte				
ʔ'hi:r	129.0	kelo1247-hopte				
tə'ma:d	130.0	kelo1247-hopte				
'put	131.0	kelo1247-hopte				
tə'rɔk	132.0	kelo1247-hopte				
də'gɛt	133.0	kelo1247-hopte				
'ʔa:ŋ	134.0	kelo1247-hopte				
tɛn ʔe'nu:k	135.0	kelo1247-hopte				
'wi:	136.0	kelo1247-hopte				
'ta:'kub	138.0	kelo1247-hopte				
nə'bur	139.0	kelo1247-hopte				
'gɛh gə'tu:k	141.0	kelo1247-hopte				
ʔə'hi:	142.0	kelo1247-hopte				
kə'lɛd	143.0	kelo1247-hopte				
gə'bɛd	144.0	kelo1247-hopte	3sg poss prefix			
'gitu	145.0	kelo1247-hopte	3sg poss prefix			
'titu kə'rid	146.0	kelo1247-hopte				
ti'ʔih ʔə'muɟ	147.0	kelo1247-hopte				
'tɛ:n	148.0	kelo1247-hopte				
tə'wi:r	149.0	kelo1247-hopte				
tə'muɲ	150.0	kelo1247-hopte				
'ta:d	151.0	kelo1247-hopte				
'ta:d gi'ki	152.0	kelo1247-hopte				
tɛta'bɔd	153.0	kelo1247-hopte				
tə'wih	154.0	kelo1247-hopte				
tə'li:b	155.0	kelo1247-hopte				
'tidɔ hə'la:	156.0	kelo1247-hopte				
'ti kə'bel	157.0	kelo1247-hopte				
ti'ʔih 'bɔk	158.0	kelo1247-hopte				
'tɛn mə'ra	159.0	kelo1247-hopte				
te'muɲ 'dɔ:k	160.0	kelo1247-hopte				
'hin	161.0	kelo1247-hopte				
tadi'a:r	162.0	kelo1247-hopte				
tə'tan	163.0	kelo1247-hopte				
te'tan	164.0	kelo1247-hopte				
tə'tan mə'rɛi	165.0	kelo1247-hopte				
tə'tan kə'rik	166.0	kelo1247-hopte				
tə'tan 'kuih	167.0	kelo1247-hopte				
'du:t	168.0	kelo1247-hopte				
ni'dɛr	169.0	kelo1247-hopte	1pl poss suffix			
tə'puh i'gɛn	170.0	kelo1247-hopte				
tətɔ'pa:k	171.0	kelo1247-hopte				
'ta:r	172.0	kelo1247-hopte				
tə'tɔk ʔə'daŋ	173.0	kelo1247-hopte				
tɛ'tak	174.0	kelo1247-hopte				
tɛ'tak	175.0	kelo1247-hopte				
'temɔ 'uɟ	176.0	kelo1247-hopte				
'te mə'rɛi	177.0	kelo1247-hopte				
'te ukə'bal	178.0	kelo1247-hopte				
tə'mɔt	179.0	kelo1247-hopte				
tə'me hi'a:r	180.0	kelo1247-hopte				
'teh 'ʔab	181.0	kelo1247-hopte				
'ku:i	182.0	kelo1247-hopte				
a'bat	183.0	kelo1247-hopte				
'kat	184.0	kelo1247-hopte				
'kat	185.0	kelo1247-hopte				
'kat	186.0	kelo1247-hopte				
tə'bi:r	187.0	kelo1247-hopte				
'tɛn 'ki:k	188.0	kelo1247-hopte				
ma'dɛb	189.0	kelo1247-hopte				
ani'nɔk	190.0	kelo1247-hopte				
tə'neʔ	191.0	kelo1247-hopte				
məmə'nak	192.0	kelo1247-hopte				
'om kə'nei	193.0	kelo1247-hopte				
ɔk kə'nei	194.0	kelo1247-hopte				
'ʔom	195.0	kelo1247-hopte				
'nɔl	196.0	kelo1247-hopte	1sg poss			
'nɔi	197.0	kelo1247-hopte	1sg poss			
'niman	198.0	kelo1247-hopte	1sg poss			
ni'ʔɔm	199.0	kelo1247-hopte	1sg poss			
'ninik	200.0	kelo1247-hopte	1sg poss			
gɔ:n ha'ha:l	201.0	kelo1247-hopte				
'bah	202.0	kelo1247-hopte				
'na:n	203.0	kelo1247-hopte				
'ʔa:n	204.0	kelo1247-hopte				
'ʔa:n	205.0	kelo1247-hopte				
'gan	206.0	kelo1247-hopte				
ni'gi:n	207.0	kelo1247-hopte				
pi:n	208.0	kelo1247-hopte				
ʔe'gi:n	209.0	kelo1247-hopte				
ʔe'niʔ	210.0	kelo1247-hopte				
'naŋ	211.0	kelo1247-hopte				
'de:	212.0	kelo1247-hopte				
de 'hɔ	213.0	kelo1247-hopte				
'nabe	216.0	kelo1247-hopte				
ʔa'ʔabe	217.0	kelo1247-hopte				
a'tu bɔ'mi	218.0	kelo1247-hopte	a'tu mi 'ʔad 'from where'			
'dendi	219.0	kelo1247-hopte				
'tujɔn	220.0	kelo1247-hopte				
ʔə'din	221.0	kelo1247-hopte				
'tujɔn bɔ	222.0	kelo1247-hopte				
'jɔŋ	223.0	kelo1247-hopte				
'jɔk	224.0	kelo1247-hopte				
'ʔɔk	225.0	kelo1247-hopte				
gɔm 'mi:	226.0	kelo1247-hopte				
jɔŋ 'mi	227.0	kelo1247-hopte				
jɔk 'mi:	228.0	kelo1247-hopte				
ʔə'tal 'ta:ŋ	229.0	kelo1247-hopte				
ʔə'mai mi:	230.0	kelo1247-hopte				
'ʔi:k	231.0	kelo1247-hopte				
tə'nei	232.0	kelo1247-hopte				
kənit 'a:k	233.0	kelo1247-hopte				
ʔi 'ʔal	234.0	kelo1247-hopte				
ʔo'bɛi	235.0	kelo1247-hopte				
hiʔi'dɔm	237.0	kelo1247-hopte				
'ku:r	238.0	kelo1247-hopte				
'beʔ	239.0	kelo1247-hopte				
'hiʔ	240.0	kelo1247-hopte				
'dur	241.0	kelo1247-hopte				
ta'kɛk	242.0	kelo1247-hopte				
ʔə'ruk	243.0	kelo1247-hopte				
ʔə'rut	244.0	kelo1247-hopte				
eil 'pɛk	245.0	kelo1247-hopte				
mə'del	246.0	kelo1247-hopte				
mə'del	247.0	kelo1247-hopte				
'gɔr	249.0	kelo1247-hopte				
'gɔr 'kei	249.0	kelo1247-hopte				
ʔə'bi:	250.0	kelo1247-hopte				
'hi:b	251.0	kelo1247-hopte				
kə'lar	252.0	kelo1247-hopte				
bə'ga:i	254.0	kelo1247-hopte				
wə'rih	255.0	kelo1247-hopte				
jɛ'kɔ	257.0	kelo1247-hopte				
jɛ'kɔ	258.0	kelo1247-hopte				
hiʔi'dɔm	259.0	kelo1247-hopte				
gam'bal	260.0	kelo1247-hopte				
hi'getak	261.0	kelo1247-hopte				
tet	261.0	kelo1247-hopte				
hiwə'rɛk	262.0	kelo1247-hopte				
gə'muk	263.0	kelo1247-hopte				
