Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
99.0	mamb1306	san tia	rice plant	Mambai	Austronesian	4Timor, 2Central	rice clean, rice skin; white rice, brown rice	s a n _ t i - a	6717.0			
102.0	mamb1306	'bo:	betel nut; areca	Mambai	Austronesian	4Timor, 2Central		ˈb oː - -	263.0			
103.0	mamb1306	'ma:l	betel vine	Mambai	Austronesian	4Timor, 2Central		ˈm aː l - -	197.0			
104.0	mamb1306	'gau	lime	Mambai	Austronesian	4Timor, 2Central		ˈg a u	6775.0			
105.0	mamb1306	'mɑm 'ma:l	chew betel	Mambai	Austronesian	4Timor, 2Central		ˈm ɑ m - _ ˈm aː l - -	6511.0			
106.0	mamb1306	mɑ'lɑe	sweet potato	Mambai	Austronesian	4Timor, 2Central		- - m ɑ ˈl ɑ - e	6535.0			
108.0	mamb1306	'hu:t	taro	Mambai	Austronesian	4Timor, 2Central		ˈh uː t	6774.0			
109.0	mamb1306	'ʔɑgɑr	sago	Mambai	Austronesian	4Timor, 2Central	pohon sago	ˈʔ ɑ g ɑ r	5009.0			
112.0	mamb1306	bɑ'tar	corn; maize	Mambai	Austronesian	4Timor, 2Central		b ɑ ˈt a r	580.0			
128.0	mamb1306	su'sɛra	milk	Mambai	Austronesian	4Timor, 2Central		s u ˈs ɛ r a -	37.0			
129.0	mamb1306	'sia	salt	Mambai	Austronesian	4Timor, 2Central		ˈs i a - -	2451.0			
130.0	mamb1306	'hula	fat	Mambai	Austronesian	4Timor, 2Central		ˈh u l a	6771.0			
131.0	mamb1306	'sɪs	flesh; meat	Mambai	Austronesian	4Timor, 2Central		ˈs ɪ s -	4508.0			
132.0	mamb1306	'rui	bone	Mambai	Austronesian	4Timor, 2Central		ˈr u - i -	6459.0			
133.0	mamb1306	'lar	rib	Mambai	Austronesian	4Timor, 2Central		ˈl a r	6713.0			
139.0	mamb1306	'ʔɑte	liver	Mambai	Austronesian	4Timor, 2Central		ˈʔ ɑ t e -	144.0			
141.0	mamb1306	te buti	guts	Mambai	Austronesian	4Timor, 2Central	intestines; intestines white; intestines brown	t e _ b u t i -	6721.0			
141.0	mamb1306	te:	guts	Mambai	Austronesian	4Timor, 2Central	intestines; intestines white; intestines brown	t eː -	6370.0			
144.0	mamb1306	'bɑi	stomach; belly	Mambai	Austronesian	4Timor, 2Central		ˈb ɑ - i -	6528.0			
145.0	mamb1306	'ʔulu 'hɑtu	head	Mambai	Austronesian	4Timor, 2Central		ˈʔ u l u _ ˈh ɑ t u	6670.0			
146.0	mamb1306	'ʔulu laha	hair	Mambai	Austronesian	4Timor, 2Central	head hair	ˈʔ u l u _ l a h a	6750.0			
148.0	mamb1306	'mata	eye	Mambai	Austronesian	4Timor, 2Central		- - - ˈm a t a -	53.0			
149.0	mamb1306	'kikɑ	ear	Mambai	Austronesian	4Timor, 2Central		ˈk i k ɑ -	2648.0			
150.0	mamb1306	'ʔilu	nose	Mambai	Austronesian	4Timor, 2Central		ˈʔ i l u -	6626.0			
151.0	mamb1306	'gugu	mouth	Mambai	Austronesian	4Timor, 2Central		ˈg u g u -	6759.0			
153.0	mamb1306	'gugu 'lita	lips	Mambai	Austronesian	4Timor, 2Central		ˈg u g u _ ˈl i t a	6785.0			
154.0	mamb1306	'nipa	teeth	Mambai	Austronesian	4Timor, 2Central		ˈn i p a -	445.0			
155.0	mamb1306	'lama	tongue	Mambai	Austronesian	4Timor, 2Central		ˈl a m a - -	6648.0			
156.0	mamb1306	tə'geu	neck	Mambai	Austronesian	4Timor, 2Central		t ə ˈg e u	6657.0			
163.0	mamb1306	'limɑ	arm	Mambai	Austronesian	4Timor, 2Central		ˈl i m - - - - ɑ -	8612.0			
164.0	mamb1306	'limɑ	hand	Mambai	Austronesian	4Timor, 2Central		ˈl i m ɑ -	105.0			
168.0	mamb1306	'susu	breast	Mambai	Austronesian	4Timor, 2Central		ˈs u s u -	55.0			
170.0	mamb1306	'pusaʔ	navel	Mambai	Austronesian	4Timor, 2Central		- - ˈp - u s a ʔ	2552.0			
174.0	mamb1306	'ʔɔɛ	leg	Mambai	Austronesian	4Timor, 2Central		ˈʔ ɔ ɛ -	6419.0			
175.0	mamb1306	ʔɔɛ 'tane	foot	Mambai	Austronesian	4Timor, 2Central	leg ground	ʔ ɔ ɛ _ ˈt a n e	5863.0			
178.0	mamb1306	ʔɔɛ 'tunur	knee	Mambai	Austronesian	4Timor, 2Central		ʔ ɔ ɛ - _ ˈt u n u r	6374.0			
179.0	mamb1306	'hɔhɔ	back	Mambai	Austronesian	4Timor, 2Central		ˈh ɔ h ɔ	6751.0			
182.0	mamb1306	'litɑ	skin	Mambai	Austronesian	4Timor, 2Central		( - - - - - - ) - - ˈl i t ɑ -	2467.0			
190.0	mamb1306	'rɔ:	person	Mambai	Austronesian	4Timor, 2Central		ˈr ɔː	6756.0			
191.0	mamb1306	'gala	name	Mambai	Austronesian	4Timor, 2Central		ˈg a l a -	395.0			
192.0	mamb1306	'ʔana	child	Mambai	Austronesian	4Timor, 2Central		ˈʔ a n a -	6425.0			
193.0	mamb1306	'ma:n	man	Mambai	Austronesian	4Timor, 2Central		- ˈm - aː n - - - - - - -	4380.0			
194.0	mamb1306	'hi:n	woman	Mambai	Austronesian	4Timor, 2Central		- - ˈh iː n - - -	2576.0			
195.0	mamb1306	'lɑi	husband	Mambai	Austronesian	4Timor, 2Central		ˈl ɑ i -	6422.0			
