Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
49.0	adon1237	'kawiː	fishing hook	Lamaholot-Adonara	Austronesian	7Adonara		ˈk a w iː -	1939			
50.0	adon1237	'namaʔ	fish trap	Lamaholot-Adonara	Austronesian	7Adonara	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	ˈn a m a ʔ	9471			
51.0	adon1237	'talɛʔ	rope	Lamaholot-Adonara	Austronesian	7Adonara		ˈt a l ɛ ʔ	2049			
52.0	adon1237	'pɛda	machete	Lamaholot-Adonara	Austronesian	7Adonara		- - ˈp ɛ d a -	2089			
53.0	adon1237	soru 'kɑpa	axe	Lamaholot-Adonara	Austronesian	7Adonara		s o r u _ ˈk ɑ p a	8695			
54.0	adon1237	'ɡalaʔ	spear	Lamaholot-Adonara	Austronesian	7Adonara		ˈɡ a l a ʔ	8943			
55.0	adon1237	bə'lebaʔ	burden stick	Lamaholot-Adonara	Austronesian	7Adonara		b ə ˈl e b a ʔ	8697			
56.0	adon1237	brɜ'dɔ̃	stick; pole	Lamaholot-Adonara	Austronesian	7Adonara		b r ɜ ˈd ɔ̃	9359			
57.0	adon1237	nu'bɑk	digging stick	Lamaholot-Adonara	Austronesian	7Adonara		n u ˈb ɑ k	8707			
59.0	adon1237	'wuhuʔ	bow	Lamaholot-Adonara	Austronesian	7Adonara		ˈw u h u ʔ	8953			
60.0	adon1237	'ʔamɜt	arrow	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a m ɜ t	8633			
61.0	adon1237	'hɛpɛʔ	knife	Lamaholot-Adonara	Austronesian	7Adonara		ˈh ɛ p ɛ ʔ	8884			
62.0	adon1237	ki'riʔ	comb	Lamaholot-Adonara	Austronesian	7Adonara		k i ˈr - - i ʔ - - - - -	1896			
63.0	adon1237	ˈʔɔhãː	mat	Lamaholot-Adonara	Austronesian	7Adonara			m			
64.0	adon1237	ˈluhi	needle	Lamaholot-Adonara	Austronesian	7Adonara		ˈl u h i	8553			
65.0	adon1237	aleˈlolo	clothing	Lamaholot-Adonara	Austronesian	7Adonara		a l e ˈl o l o	9354			
67.0	adon1237	ˈʔape	fire	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a p e -	8638			
68.0	adon1237	ˈnuhũ	smoke	Lamaholot-Adonara	Austronesian	7Adonara			m			
70.0	adon1237	ʔɜˈmut	dust; fine earth	Lamaholot-Adonara	Austronesian	7Adonara		ʔ ɜ ˈm u t	9409			
71.0	adon1237	kɜˈʔawuk	fireplace ash	Lamaholot-Adonara	Austronesian	7Adonara	NOT 'debu' (dust, after you have been sweeping)	k ɜ ˈʔ a w u k	8649			
72.0	adon1237	ˈwalã	mud	Lamaholot-Adonara	Austronesian	7Adonara			n			
73.0	adon1237	x	clay	Lamaholot-Adonara	Austronesian	7Adonara		x	9385			
74.0	adon1237	kəˈlɛkɛk, kəˈlɛhɛk	gravel	Lamaholot-Adonara	Austronesian	7Adonara		k ə ˈl ɛ k ɛ k	8765			
75.0	adon1237	ˈwɜra	sand	Lamaholot-Adonara	Austronesian	7Adonara		ˈw ɜ r a -	8848			
76.0	adon1237	kəˈdəku	grass; brush	Lamaholot-Adonara	Austronesian	7Adonara		k ə ˈd ə k u	9410			
77.0	adon1237	ˈlaŋɔ	house	Lamaholot-Adonara	Austronesian	7Adonara		ˈl a ŋ ɔ -	8823			
78.0	adon1237	laŋɔ ˈbɛʔlẽ	traditional house	Lamaholot-Adonara	Austronesian	7Adonara			m			
79.0	adon1237	ˈɡudã	barn; storage house	Lamaholot-Adonara	Austronesian	7Adonara						
80.0	adon1237	kɜˈnatã	raised platform	Lamaholot-Adonara	Austronesian	7Adonara			o			
81.0	adon1237	ˈpita	door	Lamaholot-Adonara	Austronesian	7Adonara		ˈp i t a	9395			
82.0	adon1237	ˈnakɜ	(thatch) roof	Lamaholot-Adonara	Austronesian	7Adonara		ˈn a k ɜ -	8589			
83.0	adon1237	ˈluʔo	roof thatch	Lamaholot-Adonara	Austronesian	7Adonara	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	ˈl u ʔ o	8877			
84.0	adon1237	ˈkajo	tree	Lamaholot-Adonara	Austronesian	7Adonara		ˈk a j o	9389			
85.0	adon1237	ˈkajo	wood	Lamaholot-Adonara	Austronesian	7Adonara		ˈk a j o	625			
86.0	adon1237	kajo ˈkaʔmã	bark (of tree)	Lamaholot-Adonara	Austronesian	7Adonara			[op]			
87.0	adon1237	ˈlolõ	leaf	Lamaholot-Adonara	Austronesian	7Adonara			o			
88.0	adon1237	ˈwikʔĩ	branch	Lamaholot-Adonara	Austronesian	7Adonara	cabang pohon		o			
89.0	adon1237	kajo ˈʔape	firewood	Lamaholot-Adonara	Austronesian	7Adonara		k a j o _ ˈʔ a p e	8628			
90.0	adon1237	ˈʔua	rattan	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ u - - - - a -	8764			
91.0	adon1237	ˈʔamut	root	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a m u t	8808			
92.0	adon1237	kajo ˈwuã	fruit	Lamaholot-Adonara	Austronesian	7Adonara			n			
93.0	adon1237	ˈkulʔũ	seed	Lamaholot-Adonara	Austronesian	7Adonara			h			
94.0	adon1237	ˈwahaʔ	grain; cereal	Lamaholot-Adonara	Austronesian	7Adonara		ˈw a h a ʔ	9372			
96.0	adon1237	ˈwahaʔ	husked rice; uncooked rice	Lamaholot-Adonara	Austronesian	7Adonara		ˈw a h a ʔ	6883			
97.0	adon1237	ˈwahaʔ	rice grains (unhusked) (raw from field)	Lamaholot-Adonara	Austronesian	7Adonara		ˈw a h a ʔ	9419			
98.0	adon1237	wata mɜˈnihũ	cooked rice	Lamaholot-Adonara	Austronesian	7Adonara			m			
99.0	adon1237	ˈwahaʔ	rice plant	Lamaholot-Adonara	Austronesian	7Adonara		ˈw a h a ʔ	9411			
100.0	adon1237	ˈpahaʔ	to plant (yam)	Lamaholot-Adonara	Austronesian	7Adonara		ˈp a h a ʔ	9352			
101.0	adon1237	ˈtubak, ˈmula	to plant (rice)	Lamaholot-Adonara	Austronesian	7Adonara		- - - - - ˈt u b a k - -	8964			
102.0	adon1237	ˈwuaʔ	betel nut; areca	Lamaholot-Adonara	Austronesian	7Adonara		ˈw u a ʔ	8756			
103.0	adon1237	ˈmaluʔ	betel vine	Lamaholot-Adonara	Austronesian	7Adonara		ˈm a l u ʔ	197			
104.0	adon1237	ˈʔapuʔ	lime	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ a p u ʔ	8620			
105.0	adon1237	ɡãːˈwuaʔ	chew betel	Lamaholot-Adonara	Austronesian	7Adonara			[m2]			
106.0	adon1237	kəˈwoit	sweet potato	Lamaholot-Adonara	Austronesian	7Adonara		k ə ˈw o i t	9315			
107.0	adon1237	uwe ˈkaju	cassava	Lamaholot-Adonara	Austronesian	7Adonara		u w e _ ˈk a j u	8693			
108.0	adon1237	kəˈlɑdi	taro	Lamaholot-Adonara	Austronesian	7Adonara		k ə ˈl ɑ d i	8929			
109.0	adon1237	x	sago	Lamaholot-Adonara	Austronesian	7Adonara		- - - - - - - - - x	797			
110.0	adon1237	x	millet	Lamaholot-Adonara	Austronesian	7Adonara		x	7393			
111.0	adon1237	ˈtɜwɔ	sugarcane	Lamaholot-Adonara	Austronesian	7Adonara		ˈt ɜ w ɔ -	2151			
112.0	adon1237	ˈwataʔ	corn; maize	Lamaholot-Adonara	Austronesian	7Adonara		ˈw a t a ʔ	580			
113.0	adon1237	wataʔ ˈmalune	cooked corn	Lamaholot-Adonara	Austronesian	7Adonara		w a t a ʔ _ ˈm a l u n e	9340			
114.0	adon1237	ˈtapo	coconut	Lamaholot-Adonara	Austronesian	7Adonara		ˈt a p o	8755			
115.0	adon1237	x	gwang	Lamaholot-Adonara	Austronesian	7Adonara		- - - - - x - -	3325			
