ID,Form_ID,Cognateset_ID,Alignment,Source
149,149,3898,h e w u r u,LexStat
150,150,395,t a - m o t o - - -,LexStat
151,151,6261,p i - k u - l -,LexStat
152,152,6472,t e b a h a,LexStat
153,153,5592,k a tʃ - - - - - -,LexStat
154,154,5936,k oː t,LexStat
155,155,7264,p a l a ŋ -,LexStat
156,156,2381,t o w a h a t i t ej oʔo,LexStat
157,157,1449,t e ŋ m aʔa l a,LexStat
158,158,1417,s uj a h a ʔ,LexStat
159,159,5240,- n o - m - n oʔo -,LexStat
160,160,4736,- t o n i - -,LexStat
161,161,1175,k - oi k aʔa i -,LexStat
162,162,4356,l o t i s i n i,LexStat
163,163,10653,k o b o s i n i,LexStat
164,164,3693,n o l o t i,LexStat
165,165,10549,n o k o b o -,LexStat
166,166,4608,n i w - - i,LexStat
167,167,4608,n i w i k oj,LexStat
168,168,2297,n i m i ŋ k oj,LexStat
169,169,5090,n o k oj m o t,LexStat
170,170,10867,n o k oj - - - - - d iʔi,LexStat
171,171,915,ʔ o w o l,LexStat
172,172,6320,n o m i ʔ - a s o w o,LexStat
173,173,4061,w eʔe - - ŋ,LexStat
174,174,5584,- - t oi ɲ,LexStat
175,175,283,b i n a ŋ t a -,LexStat
176,176,1874,b e l,LexStat
177,177,5256,b i - - ʔ,LexStat
178,178,1140,s i - u,LexStat
179,179,5383,d u l - -,LexStat
180,180,4201,t e - k - o -,LexStat
181,181,1232,h o l - m e n e m e,LexStat
182,182,1765,- o l,LexStat
183,183,1765,h o l,LexStat
184,184,2932,dʒ i k uj p aʔa,LexStat
185,185,525,m e r e r e ŋ,LexStat
186,186,6849,ʔ o l p aʔa,LexStat
187,187,2543,h a b - -,LexStat
188,188,6071,a b m o t i,LexStat
189,189,10411,t oː b,LexStat
190,190,1605,b aʔa - - - i,LexStat
191,191,4531,h a l e s e -,LexStat
192,192,10095,dʒ i k u,LexStat
193,193,10114,dʒ i k u,LexStat
194,194,685,s i - u - - - -,LexStat
195,195,10609,a w i t i ŋ,LexStat
196,196,3554,- a m ʊ ʔ u,LexStat
197,197,6397,m o - n -,LexStat
198,198,5977,p a l i -,LexStat
199,199,5977,p a l - dʒ,LexStat
200,200,2125,- - - d o ʔ,LexStat
201,201,2125,s i u d o ʔ,LexStat
202,202,2097,k a r eʔe,LexStat
203,203,1001,p o p oʔo,LexStat
204,204,2709,l e b e ŋ,LexStat
205,205,4588,- - k iʔi n,LexStat
206,206,307,l e ʔ i l i ŋ,LexStat
207,207,3150,s o n o,LexStat
208,208,6529,k e l e l e ŋ b a ŋ b a ŋ,LexStat
209,209,3370,- - - k oi - ɲ,LexStat
210,210,4303,w e r i ŋ,LexStat
211,211,2627,- - - t e m e l e -,LexStat
212,212,4279,w eu,LexStat
213,213,602,- - t ə m eʔe i - - -,LexStat
214,214,668,m o t i ʔ,LexStat
215,215,6344,k - aʔa - i -,LexStat
216,216,5047,l u w u ŋ a n,LexStat
217,217,4878,d e w e w e r,LexStat
218,218,5005,t e m - aʔa w,LexStat
219,219,10811,k o w o l - - o,LexStat
220,220,10821,l a w a t a,LexStat
221,221,4010,m - - a r ai ɲ,LexStat
222,222,4023,o w a k a r iʔi ŋ,LexStat
223,223,3571,w e r b u n i - - -,LexStat
224,224,1384,m aʔa - - b -,LexStat
225,225,3011,n oʔo - -,LexStat
226,226,431,- - j a - h a ʔ,LexStat
227,227,2974,- u t u l u,LexStat
228,228,2185,d o k o h o,LexStat
229,229,10385,b r eʔe,LexStat
230,230,1963,t aʔa - - t a,LexStat
231,231,1984,w e r p oi l dʒ,LexStat
232,232,6114,l aː m a -,LexStat
233,233,7148,t eʔe j,LexStat
234,234,1666,d i l k uʔu,LexStat
235,235,4102,d i je l e,LexStat
236,236,1841,n a k a r oʔo -,LexStat
237,237,1308,m ə d u l u ŋ,LexStat
238,238,6074,n a m a ŋ -,LexStat
239,239,772,k u m u -,LexStat
240,240,3404,t ə r oj - o,LexStat
241,241,4112,w e l e ŋ,LexStat
242,242,6689,k ə b u l u -,LexStat
243,243,10520,- p eʔe r e ŋ -,LexStat
244,244,1588,k a b u l u,LexStat
245,245,10757,- a s a l a - -,LexStat
246,246,5618,- - - t e n a ŋ,LexStat
247,247,5743,b oː n i -,LexStat
248,248,702,m aʔa - - l - - - a -,LexStat
249,249,6782,d e l e w e ŋ,LexStat
250,250,6492,a l - s u ŋ,LexStat
251,251,6492,- l u s u ŋ,LexStat
252,252,5872,- - m aʔa l a -,LexStat
253,253,2608,s ə l oj -,LexStat
254,254,6378,- - - - - - d u l u - -,LexStat
255,255,715,l aʔa - - - - n a,LexStat
256,256,10469,- w e l e -,LexStat
257,257,5422,- t e n e -,LexStat
258,258,3205,m o l m o l,LexStat
259,259,10776,b a ʔ oi l - -,LexStat
260,260,6201,m a r o r i,LexStat
261,261,6187,m aʔa l a,LexStat
262,262,6162,m a l a ʔ,LexStat
263,263,7153,d o l - t - - aʔa t a,LexStat
264,264,7153,d o l o t - - aʔa t a,LexStat
265,265,3677,o m s i l i,LexStat
266,266,719,- e ɲ dʒ a h a ʔ,LexStat
267,267,1750,a w e l p ə l aʔa,LexStat
268,268,5961,b a r oi tʲ,LexStat
269,269,248,- e k e r iʔi ŋ,LexStat
270,270,9132,e d u n u -,LexStat
271,271,8431,m e ʔ e h e,LexStat
272,272,9317,- - a - - m u n i ŋ - -,LexStat
273,273,9600,u t u n u t,LexStat
274,274,8631,- ʔ e l - -,LexStat
275,275,8631,- ʔ e l w e,LexStat
276,276,9348,m o t i ŋ,LexStat
277,277,8701,t aʔa r a,LexStat
278,278,9304,m o p o,LexStat
279,279,9808,t o h o ʔ,LexStat
280,280,9781,- a r e - - n t ʊ h o,LexStat
281,281,7341,- - - t e w i - l i -,LexStat
282,282,7352,- a - - - - - - w i l i -,LexStat
283,283,9265,- - m i h i -,LexStat
284,284,9462,t o h o m i,LexStat
285,285,9821,l aʔa - - w,LexStat
286,286,9047,t eʔe - - ŋ,LexStat
287,287,9549,h o - l o ŋ -,LexStat
288,288,8273,l i l i - -,LexStat
289,289,8158,m uj - - u -,LexStat
290,290,8187,k o l o -,LexStat
291,291,8105,- a m uj - u ʔ -,LexStat
292,292,8091,- - - dʒ i n a -,LexStat
293,293,8135,- n a - k o r i,LexStat
294,294,8132,n aʔa - - d i -,LexStat
295,295,7811,- n a - d o w o,LexStat
296,296,9835,- - l a m - -,LexStat
297,297,9835,n a l a m - -,LexStat
298,298,9167,n a - s a r o t o -,LexStat
299,299,8767,- w o tʃ o ŋ - - -,LexStat
300,300,7485,n oʔo i ɲ,LexStat
301,301,8027,- - m i n i -,LexStat
302,302,8332,m e r - ʔ e n e -,LexStat
303,303,9903,l u h u ʔ,LexStat
304,304,7767,m a ʔ - - -,LexStat
305,305,8647,j aː - - l a,LexStat
306,306,7886,k ə w ej e,LexStat
307,307,7996,m aj a l,LexStat
308,308,9245,d aː l - a ʔ -,LexStat
309,309,7506,t u - - - b,LexStat
310,310,7506,d i l t u b,LexStat
311,311,7531,- d a ŋ -,LexStat
312,312,9191,l e b e ŋ,LexStat
313,313,7686,n a s a ŋ,LexStat
314,314,7686,n a s a -,LexStat
315,315,9966,h aʔa i w o h o,LexStat
316,316,9488,d u t u - ʔ,LexStat
317,317,7442,- - h u p u,LexStat
318,318,9371,p a r a - - - ŋ p uj u,LexStat
319,319,9747,uj u,LexStat
320,320,9019,- - l u h u ʔ,LexStat
321,321,9109,t uː - -,LexStat
322,322,9109,t uw u -,LexStat
323,323,3839,- a l e m e -,LexStat
324,324,9529,- - - w a - l a -,LexStat
325,325,8482,b i s i ʔ,LexStat
326,326,7409,ʔ e h e ʔ,LexStat
327,327,7941,t aʔa i,LexStat
328,328,7964,a b oʔo - i,LexStat
329,329,9413,k a p i ŋ,LexStat
330,330,8060,- a b aʔa ŋ,LexStat
331,331,8061,d e l a m,LexStat
332,332,9443,t e ʔ e -,LexStat
333,333,8209,d a m u l i ŋ,LexStat
334,334,8395,h u - b uʔu - - ŋ,LexStat
335,335,9618,ʔ o - - r -,LexStat
336,336,8557,d i l - - a p - -,LexStat
337,337,8603,- - - - a m i n i -,LexStat
338,338,7664,- a r - l i l i,LexStat
339,339,9113,j a ŋ l a p -,LexStat
340,340,8043,w o l o ŋ,LexStat
341,341,7569,- a p o t - -,LexStat
342,342,8258,- - t a w oi l - dʒ,LexStat
343,343,8251,n a t e l e ʔ m a r a,LexStat
344,344,8527,- oʔo - p ui - ɲ -,LexStat
345,345,9642,- a p o tʃ o -,LexStat
346,346,8878,s oʔo - - r,LexStat
347,347,8960,- a p - - iʔi ŋ,LexStat
348,348,8974,o d oʔo - - - -,LexStat
349,349,9727,a r i ŋ m iʔi,LexStat
350,350,8081,- p oj,LexStat
351,351,7859,d oi ɲ d oi ɲ - - - -,LexStat
352,352,7859,d oi ɲ d oi ɲ m i h i,LexStat
353,353,7861,l iʔi w,LexStat
354,354,7707,t e r aʔa - i,LexStat
355,355,8377,k a b o w o -,LexStat
356,356,9425,a p a p a ʔ,LexStat
357,357,7588,- - w eː l - -,LexStat
358,358,9159,w ai l,LexStat
359,359,9473,n - a t aʔa w - -,LexStat
360,360,8798,- - d o l i ŋ,LexStat
361,361,8798,n a d o l i ŋ,LexStat
362,362,7746,w h u t e l e,LexStat
363,363,7732,- - l o l o,LexStat
364,364,7732,n a l o l o,LexStat
365,365,8459,t ə w u n i -,LexStat
366,366,9760,- - - - a n a n a,LexStat
367,367,8287,n a p a l iʔi - - -,LexStat
368,368,8447,ʔ o k - r ej e ŋ,LexStat
369,369,7326,o l o w o -,LexStat
370,370,9210,m a s a ŋ,LexStat
371,371,8899,n a - t a - p a - ŋ,LexStat
372,372,8510,ʔ o r,LexStat
373,373,7617,h uʔu i ɲ,LexStat
374,374,8734,- b aʔa -,LexStat
375,375,8740,b aʔa a k u l i,LexStat
376,376,7299,- - h u t aʔa - i ɲ,LexStat
377,377,7834,t a ʔ a n a -,LexStat
378,378,5120,- n u - -,LexStat
379,379,10229,h oː l - - o,LexStat
380,380,10229,h oʔo l - - o,LexStat
381,381,7229,t o w o,LexStat
382,382,2873,- uː t -,LexStat
383,383,2599,- - w e h e ŋ,LexStat
384,384,6228,t a l a ŋ -,LexStat
385,385,6039,w ui tː o -,LexStat
386,386,2139,t u - r - l o - -,LexStat
387,387,4907,t iʔi - - - - n u - -,LexStat
388,388,6929,k a r - n u - -,LexStat
389,389,2171,- k a r - n u - - - w o l - i - ŋ - n u,LexStat
390,390,10119,k a r - - n u - - w o l - i ŋ o l o - - -,LexStat
391,391,7170,- k a r - n u - w o l - i ŋ - - t o w o -,LexStat
392,392,10128,k a r dʒ o - l o - - -,LexStat
393,393,10169,k a r dʒ o l o n u,LexStat
394,394,7177,k a r - t o w - o -,LexStat
395,395,5130,- - r a t - - - - n u - -,LexStat
396,396,5139,- r a - - - n̥ u k - - a r dʒ o - - l o w o l - i ŋ - t o w o,LexStat
397,397,10235,- r a tː - - o l o -,LexStat
398,398,7212,- r i b - n u - -,LexStat
399,399,3054,ʔ o r - k a l a,LexStat
400,400,3054,ʔ o r o k a l a,LexStat
401,401,5174,- - s eʔe w uj,LexStat
402,402,2688,- - t i b u ŋ -,LexStat
403,403,10259,- - t ə r u,LexStat
404,404,4235,l ou - -,LexStat
405,405,6858,l e - - w e n,LexStat
406,406,6127,t oʔo - - - - ŋ,LexStat
407,407,4747,k - - e p u h u -,LexStat
408,408,7653,a l o l o ʔ,LexStat
409,409,6314,l aː b,LexStat
410,410,6756,f ɛ - - - - d,LexStat
411,411,4545,h uː l -,LexStat
412,412,6581,- iː b - -,LexStat
413,413,4893,d i l ʔ uʔu,LexStat
414,414,1688,d i l ɛ l ɛ,LexStat
415,415,1694,w ɛ d s a h a,LexStat
416,416,4557,l a l a m i -,LexStat
417,417,10795,ʔ uː m i,LexStat
418,418,1722,ʔ o t a r i ŋ a l u m i -,LexStat
419,419,9975,d i l ɛ l ɛ,LexStat
420,420,1700,- aː l u -,LexStat
421,421,10204,- - - l a l a m i -,LexStat
422,422,1360,l aː b,LexStat
423,423,10574,h aː m i -,LexStat
424,424,5328,- - - n ui - -,LexStat
425,425,1959,a l a m p ɛ p ei,LexStat
426,426,5343,h aʔa - b oʔo -,LexStat
427,427,7240,h a r i b,LexStat
428,428,2051,- t ai w ɛ ʔ ɛ -,LexStat
429,429,2755,l o w o t a w e ʔ ɛ ŋ,LexStat
430,430,5640,m ø - l,LexStat
431,431,3940,ø m,LexStat
432,432,4670,b i n i,LexStat
433,433,3464,t a - b - - uʔu,LexStat
434,434,10280,b a ŋ ʔ ɛ m e,LexStat
435,435,3973,f aʔa - i,LexStat
436,436,3488,- - b o - e,LexStat
437,437,6676,f ui -,LexStat
438,438,1558,ʔ oʔo - i f ui,LexStat
439,439,10333,s i,LexStat
440,440,5988,t a ŋ - - - - -,LexStat
441,441,10340,b o - - b o,LexStat
442,442,2736,- w a r a w a r a,LexStat
443,443,2831,- - - b a n a - -,LexStat
444,444,2985,b u t u -,LexStat
445,445,2984,d i l,LexStat
446,446,1036,ei,LexStat
447,447,2578,m aː n i,LexStat
448,448,5731,h i w a ŋ,LexStat
449,449,4339,s a p a d a -,LexStat
450,450,383,b a l i ŋ - - - -,LexStat
451,451,383,b a l i ŋ b oʔo b oi,LexStat
452,452,6513,b o k o,LexStat
453,453,980,d o p o ŋ,LexStat
454,454,6626,d o p o ŋ,LexStat
455,455,841,p ɛ h ɛ,LexStat
456,456,338,- a - - b u r i g,LexStat
457,457,353,a t aː p a,LexStat
458,458,3911,d ui r - -,LexStat
459,459,1442,d a n aʔa,LexStat
460,460,1431,ʔ i l -,LexStat
461,461,4457,b a h - u,LexStat
462,462,4833,b a t u ŋ,LexStat
463,463,1341,f ɛ n ɛ,LexStat
464,464,2493,- - a w ai - -,LexStat
465,465,2493,- - - w ai - -,LexStat
466,466,6365,a w ai - b a n - - oʔo,LexStat
467,467,1998,m a l - - - - u -,LexStat
468,468,2501,- - - - - - - - m aː l u,LexStat
469,469,4719,p a r a h,LexStat
470,470,1307,f aʔa i f i u,LexStat
471,471,1288,f aʔa - i t ɛ n ɛ,LexStat
472,472,3172,f ui - a v ai -,LexStat
473,473,5907,f ɛ tʃ ɛ ʔ,LexStat
474,474,3126,b a n a,LexStat
475,475,3607,b a ŋ,LexStat
476,476,10008,- - - - h a d a - b a ŋ -,LexStat
477,477,502,ɛ s ɛ l ɛ,LexStat
478,478,1901,s aʔa - - r,LexStat
479,479,7001,d ɛ ʔ ɛ,LexStat
480,480,5688,- m i n m e n,LexStat
481,481,5701,u v a,LexStat
482,482,10059,- - - t i -,LexStat
483,483,10711,- t iː,LexStat
484,484,490,t i ʔ ui,LexStat
485,485,4046,t i b ɛ h ɛ -,LexStat
486,486,849,- a t - - - - - - - - a ŋ - -,LexStat
487,487,2523,- aː - t - - aʔa t a,LexStat
488,488,5395,l ɛ - ʔ,LexStat
489,489,5706,- a l iʔi - - ŋ,LexStat
490,490,2955,- - p i r i,LexStat
491,491,5998,- - - a w ai - -,LexStat
492,492,3030,aː l a,LexStat
493,493,3705,- aː l a,LexStat
494,494,5492,aː a w ai,LexStat
495,495,1485,- aː l a m e dʒ e,LexStat
496,496,5517,- aː l a -,LexStat
497,497,8860,- - - t ɛ ʔ ɛ,LexStat
498,498,8860,ou t i t ɛ ʔ ɛ,LexStat
499,499,8843,- - - - t ɛ ʔ ɛ,LexStat
500,500,8843,aː l - - t ɛ ʔ ɛ,LexStat
501,501,8842,m u - - - d i ŋ,LexStat
502,502,649,b uː - - - -,LexStat
503,503,655,m e tʃ e -,LexStat
504,504,4152,- aː w i - -,LexStat
505,505,1129,n a - h a ŋ,LexStat
506,506,6803,f a l aj - - -,LexStat
507,507,1055,ou t i,LexStat
508,508,6882,m aː l u,LexStat
509,509,4513,t aː r i,LexStat
510,510,6748,s oː - b -,LexStat
511,511,1575,b a t i ʔ,LexStat
512,512,1471,b a t i - a w ai -,LexStat
513,513,1376,f a - ʔ - -,LexStat
514,514,4249,n ou,LexStat
515,515,4260,ʔ ɛ ʔ ui,LexStat
516,516,4446,m o t o ŋ - - - -,LexStat
517,517,3245,p u -,LexStat
518,518,471,m oʔo - - i,LexStat
519,519,4368,b e - -,LexStat
520,520,5198,k a h a t ɛ l ɛ,LexStat
521,521,3847,- - - - t o ŋ -,LexStat
522,522,886,t o m b ai,LexStat
523,523,538,ʔ u t u ŋ,LexStat
524,524,3540,w ai n - s i -,LexStat
525,525,4497,- - t o ʔ,LexStat
526,526,5863,t a ŋ h i r i -,LexStat
527,527,2276,- - t a m a r a,LexStat
528,528,2660,- h i r i,LexStat
529,529,827,- - t a l o p o -,LexStat
530,530,5444,- - - - - a b ɛ t i,LexStat
531,531,6769,l a t u t u ŋ - - - -,LexStat
532,532,6907,- - - - ʔ ɛ ŋ ui,LexStat
533,533,743,- f iː - - -,LexStat
534,534,3382,d a m u l u,LexStat
535,535,4183,- o m,LexStat
536,536,3871,a l o l o ʔ,LexStat
537,537,3263,- a t o - h - i -,LexStat
538,538,2224,h a h a ʔ -,LexStat
539,539,4322,- a l a d i ŋ,LexStat
540,540,6658,- a t - - - uʔu - -,LexStat
541,541,3349,- - l o ŋ - - -,LexStat
542,542,3328,h a r i ʔ i n ɛ m ɛ ŋ,LexStat
543,543,813,- - - - m uj - - -,LexStat
544,544,2251,ʔ ɛ ŋʷ ai,LexStat
545,545,2030,a w ɛ b ɛ h ɛ,LexStat
546,546,4953,- - - ai m b ui -,LexStat
547,547,4687,ʔ a t a -,LexStat
548,548,1202,- a r o w a h a,LexStat
549,549,4163,t ɛ m - - t ɛ p o r o,LexStat
550,550,6916,n a w ɛ - h ɛ ŋ,LexStat
551,551,9996,n a l ɛ b - -,LexStat
552,552,9996,t a l ɛ b - -,LexStat
553,553,4797,d o - - - - l o,LexStat
554,554,6144,ʔ a b ɛ l i,LexStat
555,555,331,n a t a ŋ - - - - - -,LexStat
556,556,5184,ʔ a t a ŋ ʔ u m -,LexStat
557,557,2443,n a t a ŋ p - - - aʔa -,LexStat
