ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
69,kabo1247,tree,tiʔ,t i ʔ,,datasets_Kabola_Monbang_tsv
70,kabo1247,bark_of_tree,ti baʔai,t i _ b a ʔ a i,,datasets_Kabola_Monbang_tsv
71,kabo1247,leaf,ti beheʔ,t i _ b e h e ʔ,,datasets_Kabola_Monbang_tsv
72,kabo1247,branch,ataŋ,a t a ŋ,(also arm/hand); cabang pohon,datasets_Kabola_Monbang_tsv
73,kabo1247,firewood,ha:,h aː,,datasets_Kabola_Monbang_tsv
74,kabo1247,rattan,lojoʔ,l o j o ʔ,,datasets_Kabola_Monbang_tsv
75,kabo1247,root,haliʔiŋ,h a l i ʔ i ŋ,,datasets_Kabola_Monbang_tsv
76,kabo1247,fruit,ti piri,t i _ p i r i,,datasets_Kabola_Monbang_tsv
77,kabo1247,seed,okowal,o k o w a l,,datasets_Kabola_Monbang_tsv
78,kabo1247,uncooked_rice,h̥a:la (meme),h aː l a,([h] very short and quiet),datasets_Kabola_Monbang_tsv
79,kabo1247,uncooked_rice,h̥a:la (meme),h aː l a _ m e m e,([h] very short and quiet),datasets_Kabola_Monbang_tsv
80,kabo1247,cooked_rice,h̥a:la me:,h̥ aː l a _ m eː,,datasets_Kabola_Monbang_tsv
81,kabo1247,rice_plant,ha:laʔ,h aː l a ʔ,,datasets_Kabola_Monbang_tsv
82,kabo1247,to_plant_yam,teʔe,t e ʔ e,,datasets_Kabola_Monbang_tsv
83,kabo1247,to_plant_rice,teʔe,t e ʔ e,,datasets_Kabola_Monbang_tsv
84,kabo1247,betel_nut_areca,buʔ,b u ʔ,,datasets_Kabola_Monbang_tsv
85,kabo1247,betel_vine,moʧoʔ,m o tʃ o ʔ,,datasets_Kabola_Monbang_tsv
86,kabo1247,lime,ʔowi,ʔ o w i,,datasets_Kabola_Monbang_tsv
87,kabo1247,chew_betel,na saŋ,n a _ s a ŋ,,datasets_Kabola_Monbang_tsv
88,kabo1247,sweet_potato,wa'lal,w a l a l,,datasets_Kabola_Monbang_tsv
