ID,Lect,no.,current Form symbol,new Form symbol,Local_Orthography symbol,note,todo,100%,4171,IN,OUT,LEN
3823,teiw1235,74,aː,a,aa,,,,,aa,aː,2
3837,teiw1235,21,iː,,ii,,,,,ii,iː,2
3853,teiw1235,21,uː,,uu,,,,,uu,uː,2
3846,teiw1235,12,oː,,o,,,,,o,oː,2
3830,teiw1235,11,eː,,e,,,,,e,eː,2
3832,teiw1235,8,ɛː,,e,,,,,e,ɛː,2
3826,teiw1235,1,dʒ,,ibid.,,,,,j,dʒ,2
3822,teiw1235,631,a,ɑ,a,,,,,a,a,1
3849,teiw1235,260,r,,ibid.,,,,,r,r,1
3836,teiw1235,258,i,,i,,,,,i,i,1
3852,teiw1235,213,u,,u,,,,,u,u,1
3843,teiw1235,208,n,,ibid.,,,,,n,n,1
3834,teiw1235,194,g,,ibid.,,,,,g,g,1
3820,teiw1235,169,_,, ,space,,,, ,_,1
3851,teiw1235,161,t,,ibid.,,,,,t,t,1
3857,teiw1235,122,ʔ,,ibid.,,,,,’,ʔ,1
3848,teiw1235,121,q,,q,,,,,q,q,1
3850,teiw1235,114,s,,ibid.,,,,,s,s,1
3842,teiw1235,103,m,,ibid.,,,,,m,m,1
3856,teiw1235,101,x,ħ,x,,,,,x,x,1
3827,teiw1235,92,e,,e,,,,,e,e,1
3840,teiw1235,87,k,,ibid.,,,,,k,k,1
3841,teiw1235,82,l,,ibid.,,,,,l,l,1
3824,teiw1235,81,b,,ibid.,,,,,b,b,1
3838,teiw1235,74,j,,ibid.,,,,,y,j,1
3855,teiw1235,73,w,,ibid.,,,,,w,w,1
3845,teiw1235,71,o,,o,,,,,o,o,1
3825,teiw1235,52,d,,ibid.,,,,,d,d,1
3847,teiw1235,52,p,,ibid.,,,,,p,p,1
3833,teiw1235,38,f,,ibid.,,,,,f,f,1
3835,teiw1235,29,h,,ibid.,,,,,h,h,1
3828,teiw1235,28,ə,,a,,,,,a,ə,1
3821,teiw1235,18,+,,n./a.,,,,,n./a.,+,1
3844,teiw1235,11,ŋ,,ibid.,,,,,ng,ŋ,1
3839,teiw1235,4,ɟ,d͡ʒ,j,,,,,j,ɟ,1
3854,teiw1235,3,v,,v,,,,,v,v,1
3831,teiw1235,2,ɛ,,e,,,,,e,ɛ,1
3862,tetu1245-suai,28,aː,,,,,,,0,aː,2
3865,tetu1245-suai,11,ɔː,,,,,,,0,ɔː,2
3871,tetu1245-suai,9,ɛː,,,,,,,0,ɛː,2
3891,tetu1245-suai,7,uː,,,,,,,0,uː,2
3869,tetu1245-suai,6,eː,,,,,,,0,eː,2
3877,tetu1245-suai,5,iː,,,,,,,0,iː,2
3885,tetu1245-suai,3,oː,,,,,,,0,oː,2
3867,tetu1245-suai,2,dʒ,,ibid.,,,,,j,dʒ,2
3861,tetu1245-suai,655,a,,ibid.,,,,,a,a,1
3890,tetu1245-suai,344,u,,,,,,,0,u,1
3882,tetu1245-suai,297,n,,ibid.,,,,,n,n,1
3875,tetu1245-suai,286,i,,,,,,,0,i,1
3879,tetu1245-suai,222,k,,ibid.,,,,,k,k,1
3859,tetu1245-suai,188,_,, ,space,1,,, ,_,1
3887,tetu1245-suai,184,r,,ibid.,,,,,r,r,1
3880,tetu1245-suai,182,l,,ibid.,,,,,l,l,1
3889,tetu1245-suai,178,t,,ibid.,,,,,t,t,1
3888,tetu1245-suai,170,s,,ibid.,,,,,s,s,1
3881,tetu1245-suai,127,m,,ibid.,,,,,m,m,1
3874,tetu1245-suai,119,h,,ibid.,,,,,h,h,1
3868,tetu1245-suai,95,e,,,,,,,0,e,1
3884,tetu1245-suai,87,o,,,,,,,0,o,1
3863,tetu1245-suai,78,b,,ibid.,,,,,b,b,1
3866,tetu1245-suai,75,d,,ibid.,,,,,d,d,1
3872,tetu1245-suai,59,f,,ibid.,,,,,f,f,1
3864,tetu1245-suai,57,ɔ,,ibid.,,,,,n./a.,ɔ,1
3894,tetu1245-suai,54,ʔ,,ibid.,,,,,’,ʔ,1
3870,tetu1245-suai,50,ɛ,,,,,,,0,ɛ,1
3883,tetu1245-suai,41,ŋ,,ibid.,,,,,ng,ŋ,1
3892,tetu1245-suai,21,w,,ibid.,,,,,w,w,1
3876,tetu1245-suai,14,ɪ,,,,,,,0,ɪ,1
3893,tetu1245-suai,4,z,,,,,,,0,z,1
3878,tetu1245-suai,3,j,,ibid.,,,,,y,j,1
3886,tetu1245-suai,3,p,,ibid.,,,,,p,p,1
3873,tetu1245-suai,2,g,,ibid.,,,,,g,g,1
3860,tetu1245-suai,1,+,,n./a.,,,,,n./a.,+,1
3899,tetu1245-vique,29,aː,,aa,,,,,aa,aː,2
3902,tetu1245-vique,12,ɔː,,oo,,,,,oo,ɔː,2
3908,tetu1245-vique,7,ɛː,,ee,,,,,ee,ɛː,2
3928,tetu1245-vique,7,uː,,uu,,,,,uu,uː,2
3906,tetu1245-vique,6,eː,,ee,,,,,ee,eː,2
3914,tetu1245-vique,4,iː,,ii,,,,,ii,iː,2
3904,tetu1245-vique,2,dʒ,,ibid.,,,,,j,dʒ,2
3922,tetu1245-vique,2,oː,,oo,,,,,oo,oː,2
3898,tetu1245-vique,648,a,,ibid.,,,,,a,a,1
3927,tetu1245-vique,349,u,,u,,,,,u,u,1
3919,tetu1245-vique,282,n,,ibid.,,,,,n,n,1
3912,tetu1245-vique,269,i,,i,,,,,i,i,1
3916,tetu1245-vique,218,k,,ibid.,,,,,k,k,1
3896,tetu1245-vique,184,_,, ,space,,,, ,_,1
3924,tetu1245-vique,183,r,,ibid.,,,,,r,r,1
3926,tetu1245-vique,180,t,,ibid.,,,,,t,t,1
3917,tetu1245-vique,177,l,,ibid.,,,,,l,l,1
3925,tetu1245-vique,168,s,,ibid.,,,,,s,s,1
3918,tetu1245-vique,123,m,,ibid.,,,,,m,m,1
3911,tetu1245-vique,115,h,,ibid.,,,,,h,h,1
3905,tetu1245-vique,98,e,,e,,,,,e,e,1
3921,tetu1245-vique,79,o,,o,,,,,o,o,1
3900,tetu1245-vique,78,b,,ibid.,,,,,b,b,1
3903,tetu1245-vique,76,d,,ibid.,,,,,d,d,1
3920,tetu1245-vique,61,ŋ,,ibid.,,,,,ng,ŋ,1
3909,tetu1245-vique,59,f,,ibid.,,,,,f,f,1
3931,tetu1245-vique,58,ʔ,,ibid.,,,,,’,ʔ,1
3901,tetu1245-vique,56,ɔ,,ibid.,,,,,n./a.,ɔ,1
3907,tetu1245-vique,54,ɛ,,e,,,,,e,ɛ,1
3913,tetu1245-vique,25,ɪ,,i,,,,,i,ɪ,1
3929,tetu1245-vique,20,w,,ibid.,,,,,w,w,1
3915,tetu1245-vique,8,j,,ibid.,,,,,y,j,1
3930,tetu1245-vique,4,z,,z,,,,,z,z,1
3923,tetu1245-vique,3,p,,ibid.,,,,,p,p,1
3910,tetu1245-vique,2,g,,ibid.,,,,,g,g,1
3897,tetu1245-vique,1,+,,n./a.,,,,,n./a.,+,1
3939,tetu1246,13,ɔː,,oo,,,,,oo,ɔː,2
3936,tetu1246,9,aː,,aa,,,,,aa,aː,2
3965,tetu1246,5,uː,,uu,,,,,uu,uː,2
3944,tetu1246,4,eː,,ee,,,,,ee,eː,2
3946,tetu1246,4,ɛː,,ee,,,,,ee,ɛː,2
3952,tetu1246,3,iː,,ii,,,,,ii,iː,2
3941,tetu1246,1,dʒ,,ibid.,,,,,j,dʒ,2
3959,tetu1246,1,oː,,oo,,,,,oo,oː,2
3935,tetu1246,144,ɑ,,ibid.,,,,,n./a.,ɑ,1
3956,tetu1246,131,n,,ibid.,,,,,n,n,1
3964,tetu1246,107,u,,u,,,,,u,u,1
3950,tetu1246,97,i,,i,,,,,i,i,1
3934,tetu1246,89,a,,ibid.,,,,,a,a,1
3963,tetu1246,78,t,,ibid.,,,,,t,t,1
3953,tetu1246,76,k,,ibid.,,,,,k,k,1
3962,tetu1246,61,s,,ibid.,,,,,s,s,1
3954,tetu1246,59,l,,ibid.,,,,,l,l,1
3961,tetu1246,58,r,,ibid.,,,,,r,r,1
3968,tetu1246,53,ʔ,,ibid.,,,,,’,ʔ,1
3955,tetu1246,49,m,,ibid.,,,,,m,m,1
3949,tetu1246,45,h,,ibid.,,,,,h,h,1
3938,tetu1246,38,ɔ,,ibid.,,,,,n./a.,ɔ,1
3937,tetu1246,32,b,,ibid.,,,,,b,b,1
3945,tetu1246,31,ɛ,,e,,,,,e,ɛ,1
3940,tetu1246,31,d,,ibid.,,,,,d,d,1
3933,tetu1246,29,_,, ,space,,,, ,_,1
3947,tetu1246,26,f,,ibid.,,,,,f,f,1
3942,tetu1246,21,e,,e,,,,,e,e,1
3958,tetu1246,15,o,,o,,,,,o,o,1
3943,tetu1246,5,ə,,e,,,,,e,ə,1
3966,tetu1246,2,w,,w,,,,,w,w,1
3951,tetu1246,1,ɪ,,i,,,,,i,ɪ,1
3948,tetu1246,1,g,,ibid.,,,,,g,g,1
3957,tetu1246,1,ŋ,,ibid.,,,,,ng,ŋ,1
3960,tetu1246,1,p,,ibid.,,,,,p,p,1
3967,tetu1246,1,ʒ,,j,,,,,j,ʒ,1
3991,tiii1241,21,oː,,oo,,,,,oo,oː,2
3997,tiii1241,20,uː,,uu,,,,,uu,uː,2
3973,tiii1241,17,aː,,aa,,,,,aa,aː,2
3979,tiii1241,12,eː,,ee,,,,,ee,eː,2
3984,tiii1241,9,iː,,ii,,,,,ii,iː,2
3999,tiii1241,,mb,m͡b,mb,,,,,mb,mb,2
4000,tiii1241,,nd,n͡d,nd,,,,,nd,nd,2
4001,tiii1241,,ŋg,ŋ͡g,ngg,,,,,ngg,ŋg,2
3972,tiii1241,508,a,,ibid.,,,,,a,a,1
3996,tiii1241,260,u,,u,,,,,u,u,1
3978,tiii1241,236,e,,e,,,,,e,e,1
3983,tiii1241,197,i,,i,,,,,i,i,1
3990,tiii1241,178,o,,o,,,,,o,o,1
3986,tiii1241,163,l,,ibid.,,,,,l,l,1
3988,tiii1241,156,n,,ibid.,,,,,n,n,1
3995,tiii1241,123,t,,ibid.,,,,,t,t,1
3994,tiii1241,120,s,,ibid.,,,,,s,s,1
3985,tiii1241,113,k,,ibid.,,,,,k,k,1
3987,tiii1241,109,m,,ibid.,,,,,m,m,1
3977,tiii1241,107,ɗ,,d,,,,,d,ɗ,1
3982,tiii1241,83,h,,ibid.,,,,,h,h,1
3975,tiii1241,73,ɓ,,b,,,,,b,ɓ,1
3998,tiii1241,70,ʔ,,ibid.,,,,,’,ʔ,1
3993,tiii1241,59,r,,ibid.,,,,,r,r,1
3970,tiii1241,55,_,, ,space,,,, ,_,1
3980,tiii1241,51,f,,ibid.,,,,,f,f,1
3971,tiii1241,44,+,,n./a.,,,,,n./a.,+,1
3974,tiii1241,41,b,,ibid.,,,,,b,b,1
3989,tiii1241,41,ŋ,,ibid.,,,,,ng,ŋ,1
3981,tiii1241,38,g,,ibid.,,,,,g,g,1
3976,tiii1241,28,d,,ibid.,,,,,d,d,1
3992,tiii1241,28,p,,ibid.,,,,,p,p,1
4007,tuku1254,2,ãː,,aa,,,,,aa,ãː,3
4006,tuku1254,13,aː,,aa,,,,,aa,aː,2
4010,tuku1254,11,ɔː,,oo,,,,,oo,ɔː,2
4016,tuku1254,10,ɛː,,ee,,,,,ee,ɛː,2
4032,tuku1254,8,uː,,uu,,,,,uu,uː,2
4014,tuku1254,6,eː,,ee,,,,,ee,eː,2
4021,tuku1254,4,iː,,ii,,,,,ii,iː,2
4004,tuku1254,152,a,,ibid.,,,,,a,a,1
4031,tuku1254,125,u,,u,,,,,u,u,1
4020,tuku1254,116,i,,i,,,,,i,i,1
4023,tuku1254,81,l,,ibid.,,,,,l,l,1
4030,tuku1254,81,t,,ibid.,,,,,t,t,1
4028,tuku1254,74,r,,ibid.,,,,,r,r,1
4009,tuku1254,71,ɔ,,ibid.,,,,,n./a.,ɔ,1
4022,tuku1254,70,k,,ibid.,,,,,k,k,1
4003,tuku1254,61,_,, ,space,,,, ,_,1
4035,tuku1254,61,ʔ,,ibid.,,,,,’,ʔ,1
4024,tuku1254,59,m,,ibid.,,,,,m,m,1
4005,tuku1254,56,ɑ,,ibid.,,,,,n./a.,ɑ,1
4012,tuku1254,55,e,,e,,,,,e,e,1
4015,tuku1254,52,ɛ,,e,,,,,e,ɛ,1
4025,tuku1254,52,n,,ibid.,,,,,n,n,1
4019,tuku1254,47,h,,ibid.,,,,,h,h,1
4029,tuku1254,47,s,,ibid.,,,,,s,s,1
4008,tuku1254,39,b,,ibid.,,,,,b,b,1
4027,tuku1254,31,p,,ibid.,,,,,p,p,1
4011,tuku1254,22,d,,ibid.,,,,,d,d,1
4018,tuku1254,21,g,,ibid.,,,,,g,g,1
4026,tuku1254,13,o,,o,,,,,o,o,1
4013,tuku1254,8,ə,,zero,,,,,zero,ə,1
4033,tuku1254,2,w,,zero,,,,,zero,w,1
4017,tuku1254,1,f,,ibid.,,,,,f,f,1
4034,tuku1254,1,z,,z,,,,,z,z,1
4043,waim1252,23,eː,,ee,,,,,ee,eː,2
4039,waim1252,21,aː,,aa,,,,,aa,aː,2
4059,waim1252,20,nˀ,,n',,,,,n',nˀ,2
4053,waim1252,17,lˀ,,l',,,,,l',lˀ,2
4073,waim1252,16,uː,,uu,,,,,uu,uː,2
4062,waim1252,15,oː,,oo,,,,,oo,oː,2
4051,waim1252,11,kʰ,,kh,,,,,kh,kʰ,2
4064,waim1252,11,pʼ,,p',,,,,p',pʼ,2
4071,waim1252,11,tʰ,,th,,,,,th,tʰ,2
4056,waim1252,10,mˀ,,m',,,,,m',mˀ,2
4050,waim1252,8,kʼ,,k',,,,,k',kʼ,2
4057,waim1252,6,m̥,,mh,,,,,mh,m̥,2
4076,waim1252,6,w̥,,wh,,,,,wh,w̥,2
4048,waim1252,5,iː,,ii,,,,,ii,iː,2
4060,waim1252,5,n̥,,nh,,,,,nh,n̥,2
4054,waim1252,4,l̥,,lh,,,,,lh,l̥,2
4065,waim1252,4,pʰ,,ph,,,,,ph,pʰ,2
4068,waim1252,3,sˀ,,s',,,,,s',sˀ,2
4075,waim1252,3,wˀ,,w',,,,,w',wˀ,2
4070,waim1252,2,tʼ,,t',,,,,t',tʼ,2
4038,waim1252,644,a,,ibid.,,,,,a,a,1
4047,waim1252,399,i,,i,,,,,i,i,1
4072,waim1252,330,u,,u,,,,,u,u,1
4042,waim1252,254,e,,e,,,,,e,e,1
4037,waim1252,198,_,, ,space,,,, ,_,1
4049,waim1252,182,k,,ibid.,,,,,k,k,1
4066,waim1252,178,r,,ibid.,,,,,r,r,1
4061,waim1252,178,o,,o,,,,,o,o,1
4052,waim1252,167,l,,ibid.,,,,,l,l,1
4067,waim1252,156,s,,ibid.,,,,,s,s,1
4069,waim1252,147,t,,ibid.,,,,,t,t,1
4058,waim1252,144,n,,ibid.,,,,,n,n,1
4040,waim1252,117,b,,ibid.,,,,,b,b,1
4046,waim1252,96,h,,ibid.,,,,,h,h,1
4055,waim1252,93,m,,ibid.,,,,,m,m,1
4041,waim1252,86,d,,ibid.,,,,,d,d,1
4074,waim1252,77,w,,ibid.,,,,,w,w,1
4077,waim1252,67,ʔ,,ibid.,,,,,’,ʔ,1
4045,waim1252,35,g,,ibid.,,,,,g,g,1
4044,waim1252,1,f,,ibid.,,,,,f,f,1
4063,waim1252,1,p,,ibid.,,,,,p,p,1
4110,wers1238-marit,4,uː,,u,,,,,u,uː,2
4082,wers1238-marit,3,aː,,a,,,,,a,aː,2
4090,wers1238-marit,3,ɛː,,e,,,,,e,ɛː,2
4094,wers1238-marit,1,iː,,i,,,,,i,iː,2
4086,wers1238-marit,1,dʒ,,ibid.,,,,,j,dʒ,2
4103,wers1238-marit,1,õ,,o,,,,,o,õ,2
4104,wers1238-marit,1,oː,,o,,,,,o,oː,2
4081,wers1238-marit,454,a,,ibid.,,,,,a,a,1
4093,wers1238-marit,331,i,,i,,,,,i,i,1
4096,wers1238-marit,237,k,,ibid.,,,,,k,k,1
4109,wers1238-marit,204,u,,u,,,,,u,u,1
4097,wers1238-marit,200,l,,ibid.,,,,,l,l,1
4079,wers1238-marit,192,_,, ,space,,,, ,_,1
4106,wers1238-marit,187,r,,ibid.,,,,,r,r,1
4108,wers1238-marit,170,t,,ibid.,,,,,t,t,1
4101,wers1238-marit,160,ŋ,,ibid.,,,,,ng,ŋ,1
4098,wers1238-marit,146,m,,ibid.,,,,,m,m,1
4107,wers1238-marit,136,s,,ibid.,,,,,s,s,1
4087,wers1238-marit,135,e,,e,,,,,e,e,1
4088,wers1238-marit,120,ə,,zero,,,,,zero,ə,1
4085,wers1238-marit,119,d,,ibid.,,,,,d,d,1
4091,wers1238-marit,106,g,,ibid.,,,,,g,g,1
4099,wers1238-marit,99,n,,ibid.,,,,,n,n,1
4102,wers1238-marit,99,o,,o,,,,,o,o,1
4105,wers1238-marit,85,p,,ibid.,,,,,p,p,1
4084,wers1238-marit,80,ɔ,,ibid.,,,,,n./a.,ɔ,1
4089,wers1238-marit,79,ɛ,,e,,,,,e,ɛ,1
4083,wers1238-marit,73,b,,ibid.,,,,,b,b,1
4111,wers1238-marit,69,w,,ibid.,,,,,w,w,1
4095,wers1238-marit,58,j,,ibid.,,,,,y,j,1
4112,wers1238-marit,5,ʔ,,ibid.,,,,,’,ʔ,1
4092,wers1238-marit,2,h,,ibid.,,,,,h,h,1
4100,wers1238-marit,2,ɲ,,ny,,,,,ny,ɲ,1
4080,wers1238-marit,1,+,,n./a.,,,,,n./a.,+,1
4129,wers1238-taram,1,oː,,o,,,,,o,oː,2
4116,wers1238-taram,399,a,,ibid.,,,,,a,a,1
4121,wers1238-taram,302,i,,i,,,,,i,i,1
4119,wers1238-taram,283,e,,e,,,,,e,e,1
4123,wers1238-taram,228,k,,ibid.,,,,,k,k,1
4134,wers1238-taram,218,u,,u,,,,,u,u,1
4128,wers1238-taram,181,o,,o,,,,,o,o,1
4114,wers1238-taram,174,_,, ,space,,,, ,_,1
4131,wers1238-taram,160,r,,ibid.,,,,,r,r,1
4124,wers1238-taram,152,l,,ibid.,,,,,l,l,1
4127,wers1238-taram,139,ŋ,,ibid.,,,,,ng,ŋ,1
4133,wers1238-taram,130,t,,ibid.,,,,,t,t,1
4125,wers1238-taram,122,m,,ibid.,,,,,m,m,1
4132,wers1238-taram,113,s,,ibid.,,,,,s,s,1
4118,wers1238-taram,89,d,,ibid.,,,,,d,d,1
4126,wers1238-taram,88,n,,ibid.,,,,,n,n,1
4135,wers1238-taram,86,w,,ibid.,,,,,w,w,1
4117,wers1238-taram,66,b,,ibid.,,,,,b,b,1
4130,wers1238-taram,66,p,,ibid.,,,,,p,p,1
4122,wers1238-taram,50,j,,ibid.,,,,,y,j,1
4120,wers1238-taram,46,g,,ibid.,,,,,g,g,1
4136,wers1238-taram,16,ʔ,,ibid.,,,,,’,ʔ,1
4115,wers1238-taram,1,+,,n./a.,,,,,n./a.,+,1
4141,west2547-welaun,75,aː,,aa,,,,,aa,aː,2
4159,west2547-welaun,25,oː,,oo,,,,,oo,oː,2
4147,west2547-welaun,21,eː,,ee,,,,,ee,eː,2
4165,west2547-welaun,8,uː,,uu,,,,,uu,uː,2
4152,west2547-welaun,7,iː,,ii,,,,,ii,iː,2
4144,west2547-welaun,2,dʒ,,ibid.,,,,,j,dʒ,2
4140,west2547-welaun,654,a,,ibid.,,,,,a,a,1
4164,west2547-welaun,338,u,,u,,,,,u,u,1
4156,west2547-welaun,297,n,,ibid.,,,,,n,n,1
4151,west2547-welaun,295,i,,i,,,,,i,i,1
4163,west2547-welaun,248,t,,ibid.,,,,,t,t,1
4154,west2547-welaun,245,l,,ibid.,,,,,l,l,1
4138,west2547-welaun,192,_,, ,space,,,, ,_,1
4162,west2547-welaun,183,s,,ibid.,,,,,s,s,1
4153,west2547-welaun,182,k,,ibid.,,,,,k,k,1
4158,west2547-welaun,173,o,,o,,,,,o,o,1
4145,west2547-welaun,143,e,,e,,,,,e,e,1
4155,west2547-welaun,130,m,,ibid.,,,,,m,m,1
4161,west2547-welaun,118,r,,ibid.,,,,,r,r,1
4142,west2547-welaun,100,b,,ibid.,,,,,b,b,1
4150,west2547-welaun,77,h,,ibid.,,,,,h,h,1
4167,west2547-welaun,76,ʔ,,ibid.,,,,,’,ʔ,1
4148,west2547-welaun,69,f,,ibid.,,,,,f,f,1
4143,west2547-welaun,57,d,,ibid.,,,,,d,d,1
4166,west2547-welaun,29,w,,ibid.,,,,,w,w,1
4149,west2547-welaun,3,g,,ibid.,,,,,g,g,1
4157,west2547-welaun,2,ŋ,,ibid.,,,,,ng,ŋ,1
4160,west2547-welaun,2,p,,ibid.,,,,,p,p,1
4139,west2547-welaun,2,+,,n./a.,,,,,n./a.,+,1
4146,west2547-welaun,1,ə,,e,,,,,e,ə,1
4172,weta1243,47,aː,,aa,,,,,aa,aː,2
4187,weta1243,27,oː,,oo,,,,,oo,oː,2
4176,weta1243,13,eː,,ee,,,,,ee,eː,2
4180,weta1243,8,iː,,ii,,,,,ii,iː,2
4193,weta1243,4,uː,,uu,,,,,uu,uː,2
4171,weta1243,719,a,,ibid.,,,,,a,a,1
4179,weta1243,505,i,,i,,,,,i,i,1
4189,weta1243,307,r,,ibid.,,,,,r,r,1
4185,weta1243,261,n,,ibid.,,,,,n,n,1
4183,weta1243,203,l,,ibid.,,,,,l,l,1
4174,weta1243,196,e,,e,,,,,e,e,1
4194,weta1243,192,w,,ibid.,,,,,w,w,1
4191,weta1243,186,t,,ibid.,,,,,t,t,1
4186,weta1243,184,o,,o,,,,,o,o,1
4182,weta1243,150,k,,ibid.,,,,,k,k,1
4184,weta1243,128,m,,ibid.,,,,,m,m,1
4192,weta1243,95,u,,u,,,,,u,u,1
4173,weta1243,73,d,,ibid.,,,,,d,d,1
4188,weta1243,73,p,,ibid.,,,,,p,p,1
4181,weta1243,49,j,,ibid.,,,,,y,j,1
4169,weta1243,42,_,, ,space,,,, ,_,1
4190,weta1243,13,s,,ibid.,,,,,s,s,1
4170,weta1243,13,+,,n./a.,,,,,n./a.,+,1
4195,weta1243,4,ʔ,,ibid.,,,,,’,ʔ,1
4175,weta1243,2,ə,,a,,,,,a,ə,1
4177,weta1243,2,g,,ibid.,,,,,g,g,1
4178,weta1243,1,h,,ibid.,,,,,h,h,1
